Claims,Fact Check
Government of India advised citizens to avoid cold drinks as they are contaminated with the Ebola virus.,0
"Central Government will provide ₹75,000 for scooters under ""Free Scooty Yojana 2024.""",0
"Ek Parivaar Ek Naukri"" scheme offers a government job to one member of every family.",0
"Free laptop distribution under ""Free Laptop Yojana 2024.",0
"Farmers to receive ₹17,000 under a new government scheme.",0
Free solar atta chakki scheme 2024 being offered.,0
"Government to provide ₹90,000 to every citizen every month.",0
"Farmers will receive ₹17,000 from the Central Government.",0
"Government providing free medical consultations via ""eSanjeevani OPD.",1
Consumers must update electricity bills via a specific helpline to avoid disconnection.,0
"Financial aid of ₹6,71,500 offered via a WhatsApp link in the name of the Ministry of Finance.",0
Approval letters issued by HPCL for LPG agency dealerships/distributorships.,0
"₹5,000 being offered by the government to all students.",0
"Government providing free scooters under ""Free Scooty Yojana 2024.""",0
"Free laptops under ""Free Laptop Yojana 2024.""",0
"₹90,000 being given monthly to every citizen.",0
 Government distributing free solar atta chakki.,0
"Central Government offering ₹17,000 to farmers.",0
Letter from the Ministry of Power warns of disconnection if bills are not updated.,0
"Free consultation via ""eSanjeevani OPD"" is available.",1
Approval letters from HPCL for LPG dealerships are authentic.,0
"Financial aid of ₹6,71,500 offered via a fake link.",0
"Farmers to receive ₹17,000 under a government scheme.",0
Free solar atta chakki being distributed under a government scheme.,0
Approval letters for LPG dealership are being issued by HPCL.,0
"A YouTube thumbnail claims that ""techgoodliket"" shows a payment of ₹2,40,000.",0
"A YouTube thumbnail claims a payment of ₹1,60,000.",0
"A YouTube thumbnail claims that ""techgoodliket"" shows a payment of ₹2,80,000.",0
"A YouTube thumbnail claims ""techgoodliket"" shows a payment of ₹5,00,000.",0
A misleading tweet claims there was a 50% cost increase in Vande Bharat Sleeper trains contract with reduced trains.,0
A fake letter claims to be from the Indian Cyber Crime Coordination Centre (I4C) with allegations against individuals.,0
A WhatsApp message offering free laptops is circulating.,0
"The website ""rashtriyavikasyojna.org"" offers jobs for various positions and seeks a fee of ₹1,675.",0
"A website ""kbkbygov.online"" claims to be official but is fraudulent.",0
A video on social media claims that an Indian fighter helicopter was shot down in Manipur.,0
"An approval letter under PM Kusum Yojana requests ₹78,000 as a registration fee.",0
"Social media posts claim an attack was launched on the Army's 36th Infantry Brigade camp in Sunjwan, Jammu & Kashmir.",0
"A YouTube thumbnail from ""GBknowledge3762"" falsely claims large payments.",0
"Fake NOC allegedly issued by the Department of Telecommunications claiming to install a mobile tower and seeking $2,500 as an agreement fee. ",0
 A notice allegedly issued by LIC claiming to withdraw all insurance products/plans for revision on 30 September 2024.,0
"Fake YouTube Thumbnail Alert from ""Gurukul Academy."" ",0
A doctored video shared by the YouTube Channel 'News Go 24' shows former Bangladesh PM Sheikh Hasina sharing the stage with PM Modi.,0
"Fake YouTube Thumbnail Alert from the channel ""Forever News.""",0
Fake approval letter from HPCL offering an LPG agency dealership. ,0
" A video by the YouTube Channel ""ENT NEWS HINDI"" claims Prime Minister Narendra Modi is involved in a fake news story.",0
Fake YouTube Video Alert about an investigation being initiated against Prime Minister Narendra Modi. ,0
" Fake news about a #YouTube video related to ""AllPoliticsNews92"" spreading false claims about the Prime Minister. ",0
A fake letter issued in the name of CBI about the rape & murder case of a trainee doctor.,0
Claim that India Post Payments Bank account will be blocked within 24 hours if the Pan card is not updated.,0
A fake website indraprasthagasdealer.com claims to be the official website of Indraprastha Gas Limited and is offering CNG pump dealerships.,0
" A video circulating on social media claims that Vande Bharat train (Train no: 22416) is about to arrive at Kolayat Railway Station, Bikaner.",0
